marcas_id;id;Nombre
1;1;500
1;2;Grande Punto
1;3;Punto Evo
1;4;500c
1;5;695
1;6;Punto
2;7;155
2;8;156
2;9;159
2;10;164
2;11;145
2;12;147
2;13;146
2;14;Gtv
2;15;Spider
2;16;166
2;17;Gt
2;18;Crosswagon
2;19;Brera
2;20;90
2;21;75
2;22;33
2;23;Giulietta
2;24;Sprint
2;25;Mito
3;26;Expander
3;27;10
3;28;24
3;29;Dacia
4;30;Rocsta
5;31;Rocsta
6;32;Db7
6;33;V8
6;34;Db9
6;35;Vanquish
6;36;V8 Vantage
6;37;Vantage
6;38;Dbs
6;39;Volante
6;40;Virage
6;41;Vantage V8
6;42;Vantage V12
6;43;Rapide
6;44;Cygnet
7;45;80
7;46;A4
7;47;A6
7;48;S6
7;49;Coupe
7;50;S2
7;51;Rs2
7;52;A8
7;53;Cabriolet
7;54;S8
7;55;A3
7;56;S4
7;57;Tt
7;58;S3
7;59;Allroad Quattro
7;60;Rs4
7;61;A2
7;62;Rs6
7;63;Q7
7;64;R8
7;65;A5
7;66;S5
7;67;V8
7;68;200
7;69;100
7;70;90
7;71;Tts
7;72;Q5
7;73;A4 Allroad Quattro
7;74;Tt Rs
7;75;Rs5
7;76;A1
7;77;A7
7;78;Rs3
7;79;Q3
7;80;A6 Allroad Quattro
7;81;S7
7;82;Sq5
8;83;Mini
8;84;Montego
8;85;Maestro
8;86;Metro
8;87;Mini Moke
9;88;Diesel
10;89;Brooklands
10;90;Turbo
10;91;Continental
10;92;Azure
10;93;Arnage
10;94;Continental Gt
10;95;Continental Flying Spur
10;96;Turbo R
10;97;Mulsanne
10;98;Eight
10;99;Continental Gtc
10;100;Continental Supersports
11;101;Freeclimber Diesel
12;102;Serie 3
12;103;Serie 5
12;104;Compact
12;105;Serie 7
12;106;Serie 8
12;107;Z3
12;108;Z4
12;109;Z8
12;110;X5
12;111;Serie 6
12;112;X3
12;113;Serie 1
12;114;Z1
12;115;X6
12;116;X1
13;117;Seville
13;118;Sts
13;119;El Dorado
13;120;Cts
13;121;Xlr
13;122;Srx
13;123;Escalade
13;124;Bls
14;125;Corvette
14;126;Blazer
14;127;Astro
14;128;Nubira
14;129;Evanda
14;130;Trans Sport
14;131;Camaro
14;132;Matiz
14;133;Alero
14;134;Tahoe
14;135;Tacuma
14;136;Trailblazer
14;137;Kalos
14;138;Aveo
14;139;Lacetti
14;140;Epica
14;141;Captiva
14;142;Hhr
14;143;Cruze
14;144;Spark
14;145;Orlando
14;146;Volt
14;147;Malibu
15;148;Vision
15;149;300m
15;150;Grand Voyager
15;151;Viper
15;152;Neon
15;153;Voyager
15;154;Stratus
15;155;Sebring
15;156;Sebring 200c
15;157;New Yorker
15;158;Pt Cruiser
15;159;Crossfire
15;160;300c
15;161;Le Baron
15;162;Saratoga
16;163;Xantia
16;164;Xm
16;165;Ax
16;166;Zx
16;167;Evasion
16;168;C8
16;169;Saxo
16;170;C2
16;171;Xsara
16;172;C4
16;173;Xsara Picasso
16;174;C5
16;175;C3
16;176;C3 Pluriel
16;177;C1
16;178;C6
16;179;Grand C4 Picasso
16;180;C4 Picasso
16;181;Ccrosser
16;182;C15
16;183;Jumper
16;184;Jumpy
16;185;Berlingo
16;186;Bx
16;187;C25
16;188;Cx
16;189;Gsa
16;190;Visa
16;191;Lna
16;192;2cv
16;193;Nemo
16;194;C4 Sedan
16;195;Berlingo First
16;196;C3 Picasso
16;197;Ds3
16;198;Czero
16;199;Ds4
16;200;Ds5
16;201;C4 Aircross
16;202;Celysee
17;203;Corvette
18;204;Contac
18;205;Logan
18;206;Sandero
18;207;Duster
18;208;Lodgy
19;209;Nexia
19;210;Aranos
19;211;Lanos
19;212;Nubira
19;213;Compact
19;214;Nubira Compact
19;215;Leganza
19;216;Evanda
19;217;Matiz
19;218;Tacuma
19;219;Kalos
19;220;Lacetti
21;221;Applause
21;222;Charade
21;223;Rocky
21;224;Feroza
21;225;Terios
21;226;Sirion
22;227;Serie Xj
22;228;Xj
22;229;Double Six
22;230;Six
22;231;Series Iii
23;232;Viper
23;233;Caliber
23;234;Nitro
23;235;Avenger
23;236;Journey
24;237;F355
24;238;360
