id;tipo;anio;patente;nro_motor;nro_chasis;color;nro_inscripcion;avaluo_fiscal;fecha_recepcion;fecha_venta;comuna_ultimo_permiso;anio_ultimo_permiso;codigo_sii;valor_transferencia;estado
1;OTRO;1983;objetos TC;hibrida Madera;asimétrica e-services indexing;Azul;Relacciones;57555550;2021-08-20;2021-08-20;Sopa;2038;Guapo Acero;27563;ON
2;CITYCAR;1984;Quinta;monitor Edificio;Dinánmico Iceland;Blanco;Silla;43003293;2021-08-20;2021-08-20;generating Ladrillo Guapa;2027;Savings;65055;OFF
3;TODOTERRENO;1953;Algodón Re;navigating programming;withdrawal Aplicaciones SMTP;Rojo;Ferrocarril Implemen;62187056;2021-08-20;2021-08-21;connect Loan;1996;Borders progra;29330;OFF
4;CAMIONETA;1989;tangible;Madrid Comunidad;frictionless;Morado;Albania optical;66617685;2021-08-20;2021-08-20;Account Berkshire;1988;Desarrollador ;34823;ON
5;CITYCAR;1957;Franc marc;monitor input;JSON deposit Interno;Amarillo;communities Negro Ar;7196661;2021-08-20;2021-08-20;Negro;1998;blockchains;75082;ON
6;TODOTERRENO;1953;programmin;copying;Market Morado transform;Blanco;Jefe Verde Blanco;17595437;2021-08-20;2021-08-20;EXE;2030;Cambridgeshire;69782;OFF
7;FURGON;1961;Credit Fin;payment matrix Guapa;deposit programming;Violeta;Bajada alianza hacki;35673392;2021-08-20;2021-08-20;Zapatos Orígenes Latvian;2006;Humano Granito;1837;ON
8;AUTOMOVIL;1988;Account Ma;Verde virtual Técnico;indexing Rojo Guapa;Blanco;Amarillo mobile;58582665;2021-08-21;2021-08-20;hacking generate;2003;solución;39656;OFF
9;OTRO;2020;Granito Pr;Credit;hibrida Extremadura;Blanco;Profundo;97810710;2021-08-20;2021-08-20;Plástico firewall;2023;payment;18975;ON
10;OTRO;2010;4th;AI;Refinado Ariary back;Negro;Credit;80971352;2021-08-20;2021-08-20;Luxemburgo;2012;Mauritania;82671;ON
