id;fecha_recepcion;ciudad;monto;monto_texto;forma_pago;estado;en_proceso_venta
1;2021-08-20;Morado Administrador;87856;compressing drive;metrics;ON;ON
2;2021-08-20;auxiliary mobile;32409;actitud Canarias;Operaciones;ON;ON
3;2021-08-20;productividad Home Jefe;595;trabajo Normas;calculating multi-byte;OFF;ON
4;2021-08-20;unleash Berkshire Parque;63798;Deportes;Azul;ON;OFF
5;2021-08-20;éxito motivadora Amarillo;43485;Relacciones;engage nacional;ON;ON
6;2021-08-20;TCP Genérico;73228;Polarizado Account override;Ergonómico;ON;OFF
7;2021-08-20;Funcionario Algodón;27129;HDD Proactivo Adelante;Increible;ON;ON
8;2021-08-20;Ergonómico;7812;Extramuros;Gerente Increible;ON;ON
9;2021-08-20;Compartible;61755;Méjico Queso;IB Seychelles Galicia;OFF;ON
10;2021-08-20;Dinánmico RAM;50984;metódica;Chalet;OFF;OFF
